method,classifier,primary (mean ± std),AUC (mean ± std)
Raw,LR,0.6305 ± 0.0131,0.8029 ± 0.0091
Raw,SVM,0.6309 ± 0.0118,0.8016 ± 0.0092
Raw,RF,0.8722 ± 0.0065,0.9663 ± 0.0031
Raw,LightGBM,0.9088 ± 0.0039,0.9819 ± 0.0012
Raw,MLP,0.8165 ± 0.0072,0.9309 ± 0.0045
Raw,EEGNet,0.7557 ± 0.0283,0.9061 ± 0.0184
Raw,ViT,0.7722 ± 0.0117,0.9195 ± 0.0074
Raw,MobileNet,0.6624 ± 0.0395,0.8690 ± 0.0222
Filter (1–50 Hz),LR,0.6481 ± 0.0112,0.8168 ± 0.0064
Filter (1–50 Hz),SVM,0.6428 ± 0.0093,0.8120 ± 0.0065
Filter (1–50 Hz),RF,0.8238 ± 0.0095,0.9432 ± 0.0043
Filter (1–50 Hz),LightGBM,0.8838 ± 0.0055,0.9726 ± 0.0024
Filter (1–50 Hz),MLP,0.8223 ± 0.0213,0.9345 ± 0.0108
Filter (1–50 Hz),EEGNet,0.6821 ± 0.0173,0.8544 ± 0.0154
Filter (1–50 Hz),ViT,0.6324 ± 0.0165,0.8196 ± 0.0100
Filter (1–50 Hz),MobileNet,0.4760 ± 0.1175,0.6827 ± 0.1363
ICA,LR,0.6228 ± 0.0112,0.7958 ± 0.0090
ICA,SVM,0.6184 ± 0.0124,0.7892 ± 0.0105
ICA,RF,0.8694 ± 0.0067,0.9657 ± 0.0020
ICA,LightGBM,0.9001 ± 0.0050,0.9793 ± 0.0014
ICA,MLP,0.8139 ± 0.0116,0.9293 ± 0.0059
ICA,EEGNet,0.7380 ± 0.0112,0.8956 ± 0.0094
ICA,ViT,0.7780 ± 0.0125,0.9229 ± 0.0068
ICA,MobileNet,0.7072 ± 0.0231,0.8863 ± 0.0090
ASR,LR,0.6182 ± 0.0132,0.7928 ± 0.0100
ASR,SVM,0.6216 ± 0.0158,0.7959 ± 0.0101
ASR,RF,0.8667 ± 0.0055,0.9638 ± 0.0026
ASR,LightGBM,0.9014 ± 0.0057,0.9807 ± 0.0013
ASR,MLP,0.8475 ± 0.0056,0.9532 ± 0.0033
ASR,EEGNet,0.7508 ± 0.0219,0.9009 ± 0.0153
ASR,ViT,0.7673 ± 0.0151,0.9154 ± 0.0091
ASR,MobileNet,0.6630 ± 0.0375,0.8663 ± 0.0188
IC-U-Net,LR,0.6307 ± 0.0081,0.8063 ± 0.0073
IC-U-Net,SVM,0.6280 ± 0.0078,0.8015 ± 0.0059
IC-U-Net,RF,0.6484 ± 0.0104,0.8288 ± 0.0064
IC-U-Net,LightGBM,0.7117 ± 0.0115,0.8738 ± 0.0062
IC-U-Net,MLP,0.7057 ± 0.0095,0.8653 ± 0.0048
IC-U-Net,EEGNet,0.6600 ± 0.0112,0.8395 ± 0.0055
IC-U-Net,ViT,0.6245 ± 0.0104,0.8082 ± 0.0093
IC-U-Net,MobileNet,0.5246 ± 0.0784,0.7379 ± 0.1124
