method,classifier,primary (mean ± std),AUC (mean ± std)
Raw,LR,0.8133 ± 0.0051,0.8793 ± 0.0056
Raw,SVM,0.8063 ± 0.0065,0.8677 ± 0.0062
Raw,RF,0.8859 ± 0.0040,0.9547 ± 0.0026
Raw,LightGBM,0.9207 ± 0.0048,0.9753 ± 0.0015
Raw,MLP,0.8967 ± 0.0064,0.9475 ± 0.0031
Raw,EEGNet,0.7880 ± 0.0450,0.8868 ± 0.0377
Raw,ViT,0.8818 ± 0.0053,0.9464 ± 0.0037
Raw,MobileNet,0.8074 ± 0.0253,0.8923 ± 0.0204
Filter (1–50 Hz),LR,0.8042 ± 0.0054,0.8786 ± 0.0049
Filter (1–50 Hz),SVM,0.8001 ± 0.0066,0.8711 ± 0.0049
Filter (1–50 Hz),RF,0.8808 ± 0.0044,0.9485 ± 0.0035
Filter (1–50 Hz),LightGBM,0.9128 ± 0.0043,0.9703 ± 0.0020
Filter (1–50 Hz),MLP,0.8830 ± 0.0101,0.9401 ± 0.0026
Filter (1–50 Hz),EEGNet,0.8195 ± 0.0456,0.9163 ± 0.0161
Filter (1–50 Hz),ViT,0.8941 ± 0.0026,0.9544 ± 0.0024
Filter (1–50 Hz),MobileNet,0.7947 ± 0.0260,0.8794 ± 0.0305
ICA,LR,0.7817 ± 0.0049,0.8518 ± 0.0040
ICA,SVM,0.7782 ± 0.0048,0.8413 ± 0.0034
ICA,RF,0.8907 ± 0.0055,0.9551 ± 0.0034
ICA,LightGBM,0.9134 ± 0.0043,0.9703 ± 0.0022
ICA,MLP,0.8690 ± 0.0184,0.9374 ± 0.0045
ICA,EEGNet,0.6751 ± 0.0303,0.7741 ± 0.0326
ICA,ViT,0.8548 ± 0.0069,0.9275 ± 0.0049
ICA,MobileNet,0.7382 ± 0.0223,0.8241 ± 0.0223
ASR,LR,0.7950 ± 0.0044,0.8606 ± 0.0047
ASR,SVM,0.7883 ± 0.0048,0.8537 ± 0.0047
ASR,RF,0.8671 ± 0.0045,0.9433 ± 0.0035
ASR,LightGBM,0.8991 ± 0.0057,0.9643 ± 0.0030
ASR,MLP,0.8854 ± 0.0067,0.9399 ± 0.0036
ASR,EEGNet,0.6324 ± 0.0365,0.7148 ± 0.0510
ASR,ViT,0.7718 ± 0.0128,0.8588 ± 0.0098
ASR,MobileNet,0.6934 ± 0.0459,0.7934 ± 0.0302
IC-U-Net,LR,0.6582 ± 0.0386,0.7461 ± 0.0390
IC-U-Net,SVM,0.6462 ± 0.0446,0.7304 ± 0.0456
IC-U-Net,RF,0.7740 ± 0.0051,0.8623 ± 0.0043
IC-U-Net,LightGBM,0.8165 ± 0.0046,0.8980 ± 0.0046
IC-U-Net,MLP,0.6952 ± 0.0488,0.7789 ± 0.0486
IC-U-Net,EEGNet,0.6022 ± 0.0720,0.7496 ± 0.0468
IC-U-Net,ViT,0.6790 ± 0.1125,0.8187 ± 0.1007
IC-U-Net,MobileNet,0.6605 ± 0.0419,0.7473 ± 0.0509
