task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr,eegnet,1,2013945970,accuracy,0.5694444444444444,0.5694444444444444,0.5694444444444445,0.5682944592549113,0.5694444444444445,0.7373023148148148
attention_state,asr,eegnet,2,61155527,accuracy,0.6494444444444445,0.6494444444444445,0.6494444444444444,0.6783467359370209,0.6494444444444444,0.839899074074074
attention_state,asr,eegnet,3,1072713694,accuracy,0.5572222222222222,0.5572222222222222,0.5572222222222222,0.5964835383954257,0.5572222222222222,0.7505388888888889
attention_state,asr,eegnet,4,2111243235,accuracy,0.7826388888888889,0.7826388888888889,0.7826388888888888,0.7841867990312812,0.7826388888888888,0.919093605324074
attention_state,asr,eegnet,5,1626406676,accuracy,0.7340277777777777,0.7340277777777777,0.7340277777777778,0.7353719563216323,0.7340277777777778,0.8857045717592592
attention_state,asr,eegnet,6,126691620,accuracy,0.55,0.55,0.5499999999999999,0.5472791828054987,0.5499999999999999,0.7318699074074075
attention_state,asr,eegnet,7,28155425,accuracy,0.6516666666666666,0.6516666666666666,0.6516666666666667,0.6653344645279716,0.6516666666666667,0.8421606481481482
attention_state,asr,eegnet,8,149869551,accuracy,0.5688888888888889,0.5688888888888889,0.5688888888888889,0.6230207500066061,0.5688888888888889,0.7573703703703704
attention_state,asr,eegnet,9,2044435244,accuracy,0.7902777777777777,0.7902777777777777,0.7902777777777779,0.7871772276503489,0.7902777777777779,0.922003761574074
attention_state,asr,eegnet,10,1786428360,accuracy,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.7237125395033303,0.7152777777777778,0.871121238425926
attention_state,asr,lightgbm,1,2013945970,accuracy,0.49166666666666664,0.49166666666666664,0.4916666666666667,0.49831479743255064,0.4916666666666667,0.6715527777777779
attention_state,asr,lightgbm,2,61155527,accuracy,0.5205555555555555,0.5205555555555555,0.5205555555555555,0.5482748431670129,0.5205555555555555,0.759337037037037
attention_state,asr,lightgbm,3,1072713694,accuracy,0.4677777777777778,0.4677777777777778,0.4677777777777778,0.48556997260994034,0.4677777777777778,0.711300462962963
attention_state,asr,lightgbm,4,2111243235,accuracy,0.42430555555555555,0.42430555555555555,0.42430555555555555,0.550517192946575,0.42430555555555555,0.6961906828703704
attention_state,asr,lightgbm,5,1626406676,accuracy,0.5020833333333333,0.5020833333333333,0.5020833333333333,0.5077302862237917,0.5020833333333333,0.7048560474537037
attention_state,asr,lightgbm,6,126691620,accuracy,0.49166666666666664,0.49166666666666664,0.4916666666666667,0.49831479743255064,0.4916666666666667,0.6715527777777779
attention_state,asr,lightgbm,7,28155425,accuracy,0.5205555555555555,0.5205555555555555,0.5205555555555555,0.5482748431670129,0.5205555555555555,0.759337037037037
