method,classifier,primary (mean ± std),AUC (mean ± std)
Raw,LR,0.4667 ± 0.0529,0.6537 ± 0.0658
Raw,SVM,0.4714 ± 0.0457,0.6565 ± 0.0608
Raw,RF,0.4458 ± 0.0438,0.6496 ± 0.0655
Raw,LightGBM,0.4777 ± 0.0238,0.6897 ± 0.0366
Raw,MLP,0.4525 ± 0.0421,0.6619 ± 0.0517
Raw,EEGNet,0.6553 ± 0.0794,0.8236 ± 0.0652
Raw,ViT,0.6177 ± 0.0773,0.8013 ± 0.0602
Raw,MobileNet,0.5740 ± 0.0532,0.7733 ± 0.0502
Filter (1–50 Hz),LR,0.4787 ± 0.0313,0.6743 ± 0.0272
Filter (1–50 Hz),SVM,0.4768 ± 0.0301,0.6698 ± 0.0231
Filter (1–50 Hz),RF,0.5386 ± 0.0650,0.7235 ± 0.0649
Filter (1–50 Hz),LightGBM,0.5282 ± 0.0461,0.7308 ± 0.0695
Filter (1–50 Hz),MLP,0.4770 ± 0.0362,0.6841 ± 0.0476
Filter (1–50 Hz),EEGNet,0.4977 ± 0.0306,0.7289 ± 0.0529
Filter (1–50 Hz),ViT,0.5222 ± 0.0496,0.7211 ± 0.0582
Filter (1–50 Hz),MobileNet,0.3957 ± 0.0786,0.6074 ± 0.1120
ICA,LR,0.4561 ± 0.0508,0.6360 ± 0.0611
ICA,SVM,0.4590 ± 0.0460,0.6343 ± 0.0570
ICA,RF,0.4552 ± 0.0406,0.6593 ± 0.0638
ICA,LightGBM,0.4865 ± 0.0373,0.6938 ± 0.0463
ICA,MLP,0.4359 ± 0.0499,0.6358 ± 0.0594
ICA,EEGNet,0.6412 ± 0.0803,0.8169 ± 0.0675
ICA,ViT,0.6032 ± 0.0716,0.7923 ± 0.0607
ICA,MobileNet,0.5461 ± 0.0506,0.7623 ± 0.0519
ASR (k=5),LR,0.4195 ± 0.0369,0.6164 ± 0.0423
ASR (k=5),SVM,0.4255 ± 0.0363,0.6178 ± 0.0406
ASR (k=5),RF,0.4566 ± 0.0371,0.6734 ± 0.0489
ASR (k=5),LightGBM,0.4813 ± 0.0332,0.7086 ± 0.0287
ASR (k=5),MLP,0.4221 ± 0.0451,0.6211 ± 0.0492
ASR (k=5),EEGNet,0.6569 ± 0.0893,0.8257 ± 0.0715
ASR (k=5),ViT,0.6293 ± 0.0795,0.8075 ± 0.0640
ASR (k=5),MobileNet,0.5605 ± 0.0689,0.7624 ± 0.0694
ASR (k=20),LR,0.4363 ± 0.0433,0.6212 ± 0.0599
ASR (k=20),SVM,0.4407 ± 0.0473,0.6246 ± 0.0559
ASR (k=20),RF,0.4602 ± 0.0355,0.6690 ± 0.0538
ASR (k=20),LightGBM,0.4935 ± 0.0270,0.7141 ± 0.0313
ASR (k=20),MLP,0.4355 ± 0.0459,0.6321 ± 0.0592
ASR (k=20),EEGNet,0.6598 ± 0.0784,0.8317 ± 0.0653
ASR (k=20),ViT,0.6260 ± 0.0795,0.8124 ± 0.0646
ASR (k=20),MobileNet,0.5659 ± 0.0466,0.7603 ± 0.0565
IC-U-Net,LR,0.5297 ± 0.0403,0.7209 ± 0.0390
IC-U-Net,SVM,0.5228 ± 0.0426,0.7134 ± 0.0381
IC-U-Net,RF,0.5599 ± 0.0796,0.7497 ± 0.0777
IC-U-Net,LightGBM,0.5801 ± 0.0594,0.7715 ± 0.0600
IC-U-Net,MLP,0.5608 ± 0.0446,0.7498 ± 0.0446
IC-U-Net,EEGNet,0.5802 ± 0.0425,0.7785 ± 0.0410
IC-U-Net,ViT,0.5444 ± 0.0572,0.7439 ± 0.0540
IC-U-Net,MobileNet,0.4742 ± 0.0575,0.7047 ± 0.0494
