method,classifier,primary (mean ± std),AUC (mean ± std)
Raw,LR,0.6551 ± 0.0044,0.6903 ± 0.0051
Raw,SVM,0.6537 ± 0.0042,0.6888 ± 0.0052
Raw,RF,0.5814 ± 0.0039,0.6589 ± 0.0054
Raw,LightGBM,0.6008 ± 0.0066,0.6400 ± 0.0081
Raw,MLP,0.6267 ± 0.0141,0.6948 ± 0.0147
Raw,EEGNet,0.6661 ± 0.0201,0.7216 ± 0.0269
Raw,ViT,0.5652 ± 0.0252,0.6007 ± 0.0227
Raw,MobileNet,0.5189 ± 0.0171,0.5481 ± 0.0198
Filter (1–50 Hz),LR,0.6426 ± 0.0040,0.7000 ± 0.0039
Filter (1–50 Hz),SVM,0.6480 ± 0.0045,0.7038 ± 0.0041
Filter (1–50 Hz),RF,0.5308 ± 0.0074,0.5922 ± 0.0065
Filter (1–50 Hz),LightGBM,0.5463 ± 0.0048,0.6051 ± 0.0049
Filter (1–50 Hz),MLP,0.5797 ± 0.0126,0.6488 ± 0.0198
Filter (1–50 Hz),EEGNet,0.6504 ± 0.0212,0.7000 ± 0.0193
Filter (1–50 Hz),ViT,0.5313 ± 0.0174,0.5518 ± 0.0258
Filter (1–50 Hz),MobileNet,0.5050 ± 0.0078,0.5086 ± 0.0216
ICA,LR,0.5822 ± 0.0069,0.5938 ± 0.0069
ICA,SVM,0.5847 ± 0.0067,0.5953 ± 0.0078
ICA,RF,0.5732 ± 0.0063,0.6377 ± 0.0042
ICA,LightGBM,0.5981 ± 0.0066,0.6480 ± 0.0055
ICA,MLP,0.6029 ± 0.0109,0.6226 ± 0.0139
ICA,EEGNet,0.6039 ± 0.0116,0.6483 ± 0.0136
ICA,ViT,0.5264 ± 0.0180,0.5438 ± 0.0283
ICA,MobileNet,0.5032 ± 0.0059,0.5302 ± 0.0182
ASR (k=5),LR,0.5936 ± 0.0028,0.6197 ± 0.0071
ASR (k=5),SVM,0.5923 ± 0.0047,0.6187 ± 0.0072
ASR (k=5),RF,0.5600 ± 0.0040,0.6408 ± 0.0064
ASR (k=5),LightGBM,0.5779 ± 0.0054,0.6486 ± 0.0093
ASR (k=5),MLP,0.5810 ± 0.0071,0.6521 ± 0.0101
ASR (k=5),EEGNet,0.6232 ± 0.0233,0.6656 ± 0.0237
ASR (k=5),ViT,0.5387 ± 0.0235,0.5611 ± 0.0268
ASR (k=5),MobileNet,0.4999 ± 0.0027,0.4975 ± 0.0124
ASR (k=20),LR,0.6428 ± 0.0045,0.6906 ± 0.0046
ASR (k=20),SVM,0.6442 ± 0.0047,0.6923 ± 0.0054
ASR (k=20),RF,0.5799 ± 0.0040,0.6565 ± 0.0048
ASR (k=20),LightGBM,0.5967 ± 0.0067,0.6599 ± 0.0060
ASR (k=20),MLP,0.6107 ± 0.0078,0.6595 ± 0.0075
ASR (k=20),EEGNet,0.6299 ± 0.0214,0.6733 ± 0.0325
ASR (k=20),ViT,0.5455 ± 0.0226,0.5811 ± 0.0236
ASR (k=20),MobileNet,0.5069 ± 0.0157,0.5235 ± 0.0245
IC-U-Net,LR,0.5438 ± 0.0053,0.5644 ± 0.0046
IC-U-Net,SVM,0.5448 ± 0.0042,0.5655 ± 0.0043
IC-U-Net,RF,0.5206 ± 0.0052,0.5468 ± 0.0058
IC-U-Net,LightGBM,0.5103 ± 0.0061,0.5172 ± 0.0053
IC-U-Net,MLP,0.5193 ± 0.0057,0.5298 ± 0.0100
IC-U-Net,EEGNet,0.5794 ± 0.0115,0.6098 ± 0.0221
IC-U-Net,ViT,0.5309 ± 0.0148,0.5496 ± 0.0180
IC-U-Net,MobileNet,0.5040 ± 0.0113,0.4996 ± 0.0258
