method,classifier,primary (mean ± std),AUC (mean ± std)
Raw,LR,0.6856 ± 0.0868,0.7388 ± 0.0892
Raw,SVM,0.6828 ± 0.0830,0.7275 ± 0.0873
Raw,RF,0.6815 ± 0.1322,0.7739 ± 0.1488
Raw,LightGBM,0.6848 ± 0.1246,0.7887 ± 0.1330
Raw,MLP,0.6840 ± 0.0962,0.7295 ± 0.0921
Raw,EEGNet,0.6764 ± 0.0952,0.7731 ± 0.1280
Raw,ViT,0.7068 ± 0.1000,0.7880 ± 0.1177
Raw,MobileNet,0.6921 ± 0.1104,0.7644 ± 0.1322
Filter (1–50 Hz),LR,0.6827 ± 0.0977,0.7504 ± 0.0967
Filter (1–50 Hz),SVM,0.6838 ± 0.0975,0.7459 ± 0.0986
Filter (1–50 Hz),RF,0.6734 ± 0.1359,0.7718 ± 0.1523
Filter (1–50 Hz),LightGBM,0.6882 ± 0.1249,0.7945 ± 0.1339
Filter (1–50 Hz),MLP,0.6847 ± 0.0988,0.7492 ± 0.0840
Filter (1–50 Hz),EEGNet,0.6821 ± 0.1038,0.7590 ± 0.1200
Filter (1–50 Hz),ViT,0.7196 ± 0.1109,0.8003 ± 0.1149
Filter (1–50 Hz),MobileNet,0.6814 ± 0.1095,0.7908 ± 0.1273
ICA,LR,0.6449 ± 0.0952,0.6937 ± 0.1081
ICA,SVM,0.6411 ± 0.0924,0.6849 ± 0.1046
ICA,RF,0.6253 ± 0.1247,0.7307 ± 0.1643
ICA,LightGBM,0.6663 ± 0.1066,0.7618 ± 0.1434
ICA,MLP,0.6590 ± 0.0977,0.7023 ± 0.1004
ICA,EEGNet,0.6212 ± 0.1276,0.6885 ± 0.1635
ICA,ViT,0.6461 ± 0.0807,0.7114 ± 0.1061
ICA,MobileNet,0.6395 ± 0.0808,0.7076 ± 0.1239
ASR (k=5),LR,0.6550 ± 0.0756,0.7032 ± 0.0946
ASR (k=5),SVM,0.6510 ± 0.0775,0.6971 ± 0.0953
ASR (k=5),RF,0.6804 ± 0.1098,0.7574 ± 0.1399
ASR (k=5),LightGBM,0.7113 ± 0.0937,0.7867 ± 0.1208
ASR (k=5),MLP,0.6690 ± 0.0969,0.6991 ± 0.1151
ASR (k=5),EEGNet,0.5604 ± 0.1113,0.6249 ± 0.1654
ASR (k=5),ViT,0.6574 ± 0.0719,0.7194 ± 0.1069
ASR (k=5),MobileNet,0.6601 ± 0.0596,0.7335 ± 0.0775
ASR (k=20),LR,0.6869 ± 0.0807,0.7322 ± 0.1044
ASR (k=20),SVM,0.6800 ± 0.0775,0.7242 ± 0.1019
ASR (k=20),RF,0.6709 ± 0.1253,0.7623 ± 0.1471
ASR (k=20),LightGBM,0.6857 ± 0.1183,0.7779 ± 0.1340
ASR (k=20),MLP,0.6499 ± 0.0943,0.6860 ± 0.1101
ASR (k=20),EEGNet,0.6602 ± 0.1206,0.7593 ± 0.1487
ASR (k=20),ViT,0.6827 ± 0.0894,0.7636 ± 0.1149
ASR (k=20),MobileNet,0.6464 ± 0.0990,0.6914 ± 0.1361
IC-U-Net,LR,0.6482 ± 0.1182,0.7471 ± 0.1475
IC-U-Net,SVM,0.6425 ± 0.1186,0.7406 ± 0.1439
IC-U-Net,RF,0.6629 ± 0.1122,0.7498 ± 0.1444
IC-U-Net,LightGBM,0.6639 ± 0.1087,0.7464 ± 0.1328
IC-U-Net,MLP,0.6599 ± 0.1090,0.7563 ± 0.1346
IC-U-Net,EEGNet,0.6681 ± 0.1192,0.7499 ± 0.1460
IC-U-Net,ViT,0.7066 ± 0.1051,0.7977 ± 0.1178
IC-U-Net,MobileNet,0.6600 ± 0.1143,0.7613 ± 0.1378
