task,method,metric,alternative,n_classifiers,w_statistic,mean_difference,p_value,holm_adjusted_p_value,significant_0_05
attention_state,bandpass,primary,denoised < raw,8,15.0,-0.030769097222222208,0.37109375,0.8203125,False
attention_state,ica,primary,denoised < raw,8,3.0,-0.009718750000000005,0.01953125,0.09765625,False
attention_state,asr,primary,denoised < raw,8,10.0,-0.01367534722222221,0.15625,0.625,False
attention_state,asr20,primary,denoised < raw,8,13.0,-0.005378472222222194,0.2734375,0.8203125,False
attention_state,ic_unet,primary,denoised < raw,8,24.0,0.02391840277777777,0.80859375,0.8203125,False
attention_state,bandpass,auc,denoised < raw,8,15.0,-0.021203119212962973,0.37109375,0.921875,False
attention_state,ica,auc,denoised < raw,8,5.0,-0.009853637695312528,0.0390625,0.1953125,False
attention_state,asr,auc,denoised < raw,8,12.0,-0.00957474265769677,0.23046875,0.921875,False
attention_state,asr20,auc,denoised < raw,8,12.0,-0.005515483398437521,0.23046875,0.921875,False
attention_state,ic_unet,auc,denoised < raw,8,27.0,0.02786446922019674,0.90234375,0.921875,False
bci_errp,bandpass,primary,denoised < raw,8,0.0,-0.029222206402321024,0.00390625,0.01953125,True
bci_errp,ica,primary,denoised < raw,8,0.0,-0.036667905232128276,0.00390625,0.01953125,True
bci_errp,asr,primary,denoised < raw,8,0.0,-0.03767595562804289,0.00390625,0.01953125,True
bci_errp,asr20,primary,denoised < raw,8,0.0,-0.013923670537673044,0.00390625,0.01953125,True
bci_errp,ic_unet,primary,denoised < raw,8,0.0,-0.07685962268906539,0.00390625,0.01953125,True
bci_errp,bandpass,auc,denoised < raw,8,3.0,-0.02911674049131903,0.01953125,0.0390625,True
bci_errp,ica,auc,denoised < raw,8,1.0,-0.05293958606890646,0.0078125,0.03125,True
bci_errp,asr,auc,denoised < raw,8,1.0,-0.04239972861996266,0.0078125,0.03125,True
bci_errp,asr20,auc,denoised < raw,8,9.0,-0.013338333027885771,0.125,0.125,False
bci_errp,ic_unet,auc,denoised < raw,8,0.0,-0.1075890005741296,0.00390625,0.01953125,True
seizure_detection,bandpass,primary,denoised < raw,8,18.0,-2.6072045141392608e-05,0.52734375,0.52734375,False
seizure_detection,ica,primary,denoised < raw,8,0.0,-0.03817363053359757,0.00390625,0.01953125,True
seizure_detection,asr,primary,denoised < raw,8,5.0,-0.030054561939904786,0.0390625,0.1171875,False
seizure_detection,asr20,primary,denoised < raw,8,5.0,-0.01529143530925485,0.0390625,0.1171875,False
seizure_detection,ic_unet,primary,denoised < raw,8,0.0,-0.058644732206358685,0.00390625,0.01953125,True
seizure_detection,bandpass,auc,denoised < raw,8,30.0,0.00977921254237428,0.9609375,0.9609375,False
seizure_detection,ica,auc,denoised < raw,8,0.0,-0.05036800532219207,0.00390625,0.01953125,True
seizure_detection,asr,auc,denoised < raw,8,0.0,-0.04532379093867875,0.00390625,0.01953125,True
seizure_detection,asr20,auc,denoised < raw,8,0.0,-0.023367728469755697,0.00390625,0.01953125,True
seizure_detection,ic_unet,auc,denoised < raw,8,7.0,-0.03415132329759618,0.07421875,0.1484375,False
