task,method,metric,alternative,n_classifiers,w_statistic,mean_difference,p_value,holm_adjusted_p_value,significant_0_05
attention_state,bandpass,primary,denoised != raw,8,15.0,-0.030769097222222208,0.7421875,1.0,False
attention_state,ica,primary,denoised != raw,8,3.0,-0.009718750000000005,0.0390625,0.1953125,False
attention_state,asr,primary,denoised != raw,8,10.0,-0.01367534722222221,0.3125,1.0,False
attention_state,asr20,primary,denoised != raw,8,13.0,-0.005378472222222194,0.546875,1.0,False
attention_state,ic_unet,primary,denoised != raw,8,12.0,0.02391840277777777,0.4609375,1.0,False
attention_state,bandpass,auc,denoised != raw,8,15.0,-0.021203119212962973,0.7421875,1.0,False
attention_state,ica,auc,denoised != raw,8,5.0,-0.009853637695312528,0.078125,0.390625,False
attention_state,asr,auc,denoised != raw,8,12.0,-0.00957474265769677,0.4609375,1.0,False
attention_state,asr20,auc,denoised != raw,8,12.0,-0.005515483398437521,0.4609375,1.0,False
attention_state,ic_unet,auc,denoised != raw,8,9.0,0.02786446922019674,0.25,1.0,False
bci_errp,bandpass,primary,denoised != raw,8,0.0,-0.029222206402321024,0.0078125,0.0390625,True
bci_errp,ica,primary,denoised != raw,8,0.0,-0.036667905232128276,0.0078125,0.0390625,True
bci_errp,asr,primary,denoised != raw,8,0.0,-0.03767595562804289,0.0078125,0.0390625,True
bci_errp,asr20,primary,denoised != raw,8,0.0,-0.013923670537673044,0.0078125,0.0390625,True
bci_errp,ic_unet,primary,denoised != raw,8,0.0,-0.07685962268906539,0.0078125,0.0390625,True
bci_errp,bandpass,auc,denoised != raw,8,3.0,-0.02911674049131903,0.0390625,0.078125,False
bci_errp,ica,auc,denoised != raw,8,1.0,-0.05293958606890646,0.015625,0.0625,False
bci_errp,asr,auc,denoised != raw,8,1.0,-0.04239972861996266,0.015625,0.0625,False
bci_errp,asr20,auc,denoised != raw,8,9.0,-0.013338333027885771,0.25,0.25,False
bci_errp,ic_unet,auc,denoised != raw,8,0.0,-0.1075890005741296,0.0078125,0.0390625,True
seizure_detection,bandpass,primary,denoised != raw,8,18.0,-2.6072045141392608e-05,1.0,1.0,False
seizure_detection,ica,primary,denoised != raw,8,0.0,-0.03817363053359757,0.0078125,0.0390625,True
seizure_detection,asr,primary,denoised != raw,8,5.0,-0.030054561939904786,0.078125,0.234375,False
seizure_detection,asr20,primary,denoised != raw,8,5.0,-0.01529143530925485,0.078125,0.234375,False
seizure_detection,ic_unet,primary,denoised != raw,8,0.0,-0.058644732206358685,0.0078125,0.0390625,True
seizure_detection,bandpass,auc,denoised != raw,8,6.0,0.00977921254237428,0.109375,0.21875,False
seizure_detection,ica,auc,denoised != raw,8,0.0,-0.05036800532219207,0.0078125,0.0390625,True
seizure_detection,asr,auc,denoised != raw,8,0.0,-0.04532379093867875,0.0078125,0.0390625,True
seizure_detection,asr20,auc,denoised != raw,8,0.0,-0.023367728469755697,0.0078125,0.0390625,True
seizure_detection,ic_unet,auc,denoised != raw,8,7.0,-0.03415132329759618,0.1484375,0.21875,False
